#,Token,Trending,Price,30m,1h,2h,24h,TVL,24h Vol,24h Vol Chg,24h Trades,24h Views,Watchers,Holders,Markets,Total supply,FDMC

1,"superSOL
Superfast Staked SOL (https://birdeye.so/token/suPer8CPwxoJPQ7zksGMwFvjBQhjAHwUMmPV4FVatBw?chain=solana)",#1,$180.88,-1.28%,-1.04%,-2.11%,-1.51%,$5.87M,"$1.94M
92.08%
7.92%",-18.49%,"12.08K
87.3%
12.7%",3.63K,5,37.48K,5,32.97K,$5.96M
2,"MASKED
Masked Dog (https://birdeye.so/token/6ZHaYjWBhXzfk75LRyoF2vGNqjECuFX8dqAKyGdCmf5D?chain=solana)",#2,$0.013867,-5.77%,+5.15%,+28.52%,+673%,$362.83K,"$3.54M
52.55%
47.45%",__,"12.75K
65.97%
34.03%",1.65K,4.4K,1.66K,3,999.99M,$13.86M
